REASON;JOB;BAD;LOAN;MORTDUE;VALUE;YOJ;DEROG;DELINQ;CLAGE;NINQ;DEBTINC;gDEBTINC
;;0;4400;;60250;;;;;;;3
HomeImp;Other;1;2300;37626;46200;3;0;1;122,2666667;1;;3
DebtCon;;0;5400;53429;64505;5;;0;69,54243011;;36,4802363;1
HomeImp;Mgr;0;3600;61327;76484;9;;2;202,5107752;0;41,5163897;1
HomeImp;Office;0;3800;51180;63459;20;0;0;203,7515336;0;20,06704205;1
HomeImp;Office;0;5300;44993;50673;7;;;184,7427672;;27,90612273;1
HomeImp;Office;1;5000;63125;126500;3;0;0;100,3;0;;3
DebtCon;ProfExe;0;5900;82912;91175;2;;;;;27,59527352;1
HomeImp;Other;1;5000;;132000;17,5;0;2;121,9;0;;3
HomeImp;Other;0;6000;43000;57460;1,6;1;;101,5;;;3
HomeImp;Other;1;3000;;8800;2;0;1;77,76666667;0;;3
HomeImp;Other;1;5100;30755;46735;10;0;0;69;0;;3
DebtCon;Mgr;0;5000;72517;86250;19;0;1;300,3666667;1;;3
HomeImp;Office;0;5400;47844;52040;8;;;189,0343046;;24,70113626;1
DebtCon;ProfExe;0;5000;74225;89640;0,3;;;;;;3
DebtCon;ProfExe;0;5000;59900;80800;15;0;0;219,1333333;1;;3
;;0;4500;;77182;;;;;;25,2272529;1
HomeImp;ProfExe;1;5400;78300;88000;8;0;0;102,5;3;;3
HomeImp;Other;1;4900;44000;59745;10;0;0;81,5;3;;3
DebtCon;Other;1;5000;28000;36810;2;1;0;222,2;1;;3
DebtCon;Other;0;5200;19000;26000;0;1;0;17,2;10;;3
HomeImp;;0;4900;;28437,5;;;;;;;3
DebtCon;Mgr;1;2900;61962;70915;2;0;0;282,8016592;3;49,20639579;2
HomeImp;Other;1;3000;7000;20300;3;0;0;50,8;5;;3
HomeImp;Office;0;4000;105164;112774;1;0;0;94,72487417;0;29,39092806;1
HomeImp;Other;1;2800;4000;60850;16;4;0;112,6333333;2;;3
HomeImp;Other;1;5000;61999;75021,3;5;0;0;97,1;0;;3
HomeImp;Other;1;2900;7750;67996;16;3;0;122,2046628;2;36,211348;1
HomeImp;Mgr;1;5000;123000;157500;9;;;;;;3
HomeImp;ProfExe;0;5100;85583;115341;7;0;0;177,9582551;1;26,25797013;1
HomeImp;Other;1;4500;90000;105800;6;2;3;80,1;3;;3
HomeImp;Other;1;3900;29896;45960;11;0;0;146,1232422;0;24,47888119;1
;;0;5900;;66903;;;;;;32,78292683;1
;;0;5400;;75254;;;;;;23,16374295;1
DebtCon;Sales;0;4200;67700;77000;4;0;0;128,8333333;0;;3
;Other;1;6000;65000;94355;26;1;3;69,3;1;;3
DebtCon;ProfExe;0;5300;83552;96809;0;;;;;28,42396191;1
HomeImp;;0;5000;;34846;;;;;;33,35465263;1
DebtCon;;0;5000;47479;61690;5;;0;65,03296901;;36,69941492;1
DebtCon;Mgr;1;3900;21200;39000;4;0;1;86,56666667;2;;3
HomeImp;Other;0;5100;93000;116875;10;;;417,6333333;2;;3
DebtCon;Other;1;6000;9660;35900;8;0;1;136,3;3;;3
HomeImp;ProfExe;1;2400;50000;73395;5;1;0;;1;;3
HomeImp;Other;1;4000;7000;16020;18;0;1;85,8;2;;3
;;1;2200;23030;;19;;;;;3,711312299;1
DebtCon;ProfExe;1;5500;85845;122205;5;0;0;172,2132767;1;32,67664088;1
HomeImp;Other;0;4500;71082;79247;4;0;0;118,7604101;0;41,42111052;1
HomeImp;ProfExe;0;2500;71408;78600;8;0;0;255,7333333;0;;3
HomeImp;Sales;1;3300;126541;134527;9;1;0;139;0;;3
;Mgr;0;4700;67913;97205;2;0;0;142,8243915;0;35,22699719;1
;;1;2000;22608;;18;;;;;;3
HomeImp;Other;1;5000;;94119;19;;;;;;3
HomeImp;Other;1;3200;27200;40834;;0;0;298,131564;0;35,55353879;1
;;0;6000;;69492;;;;;;32,97719723;1
HomeImp;Office;0;5200;43039;53521;11;;;184,2966873;;24,41476318;1
HomeImp;Mgr;0;4000;67625;80698;11;;1;212,3493039;0;39,12871763;1
HomeImp;Office;0;5500;;66251;1;0;0;43,72233695;0;41,45204353;1
HomeImp;Self;1;5000;6000;38575;7;0;1;335,0333333;3;;3
HomeImp;Other;0;5000;;46281;2;0;0;257,6522064;0;40,95258888;1
HomeImp;Other;0;4900;67794;84630;4;0;0;112,5734189;0;41,67399636;1
HomeImp;Office;0;5500;52897;65054;20;0;0;189,2953185;0;20,6541289;1
HomeImp;ProfExe;0;5500;93051;115374;6;0;0;187,0205188;1;27,6467485;1
HomeImp;Other;1;1700;30548;40320;9;0;0;101,4660019;1;37,11361356;1
HomeImp;Other;0;5200;67000;77000;9;0;1;119,7;0;;3
HomeImp;Other;1;4000;;80609;1,5;0;2;126,5333333;3;;3
DebtCon;Other;0;5300;75958;91703;0;0;0;124,1821788;1;34,59906019;1
HomeImp;Other;1;4900;65576;65774;6;1;2;61,64250608;1;40,59091002;1
DebtCon;Mgr;1;5800;27791;46833;3;0;0;83,28906275;1;30,18780539;1
HomeImp;Office;0;5600;53793;66379;22;0;0;206,0991341;0;18,36954053;1
DebtCon;Other;0;5000;73126;87500;1;0;0;125,9666667;2;;3
DebtCon;ProfExe;0;5600;69435;83489;14;0;0;200,418434;1;22,84109285;1
DebtCon;Other;0;5100;;26715;1;0;0;258,7892976;0;26,72234334;1
